query,response
What ingredients do I need to make Mulligatawny Soup?,"To prepare Mulligatawny Soup, follow these steps: 
Melt butter in a large soup pot over medium heat
 Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes
 Add flour and curry, and cook 5 more minutes, stirring frequently
 Add chicken broth, mix well, and bring to a boil
 Reduce heat and simmer for about 30 minutes

Add apple, rice, chicken, thyme, salt, and pepper
 Simmer until rice is tender, 15 to 20 minutes

Just before serving, stir in hot cream
"
What is the nutrition information for Mulligatawny Soup?,"Here is the nutrition information for Mulligatawny Soup: Total Fat 16g 20%,
 Saturated Fat 10g 48%,
 Cholesterol 62mg 21%,
 Sodium 734mg 32%,
 Total Carbohydrate 14g 5%,
 Dietary Fiber 1g 5%,
 Total Sugars 3g,
 Protein 7g,
 Vitamin C 3mg 15%,
 Calcium 38mg 3%,
 Iron 1mg 6%,
 Potassium 186mg 4%"
Can you give me the full recipe for Mulligatawny Soup?,"Here is the full recipe for Mulligatawny Soup:
Ingredients: ½ cup chopped onion, 2 stalks celery, chopped, 1  carrot, diced, ¼ cup butter, 1 ½ tablespoons all-purpose flour, 1 ½ teaspoons curry powder, 4 cups chicken broth, ½  apple, cored and chopped, ¼ cup white rice, 1  skinless, boneless chicken breast half - cut into cubes, 1 pinch dried thyme,   salt and ground black pepper to taste, ½ cup heavy cream, heated
Servings: 6
Prep time: 20 mins
Cook time: 1 hrs
Directions: Melt butter in a large soup pot over medium heat. Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes. Add flour and curry, and cook 5 more minutes, stirring frequently. Add chicken broth, mix well, and bring to a boil. Reduce heat and simmer for about 30 minutes.
Add apple, rice, chicken, thyme, salt, and pepper. Simmer until rice is tender, 15 to 20 minutes.
Just before serving, stir in hot cream.
Nutrition: Total Fat 16g 20%,
 Saturated Fat 10g 48%,
 Cholesterol 62mg 21%,
 Sodium 734mg 32%,
 Total Carbohydrate 14g 5%,
 Dietary Fiber 1g 5%,
 Total Sugars 3g,
 Protein 7g,
 Vitamin C 3mg 15%,
 Calcium 38mg 3%,
 Iron 1mg 6%,
 Potassium 186mg 4%"
How long does it take to prepare Sauteed Apples?,Sauteed Apples usually takes 5 mins minutes to prepare and 15 mins minutes to cook.
What ingredients do I need to make Sauteed Apples?,"To prepare Sauteed Apples, follow these steps: 
Melt butter in a large skillet or saucepan over medium heat; add apples and cook, stirring constantly, until almost tender, 6 to 7 minutes

Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples
 Stir in brown sugar and cinnamon
 Bring to a boil for 2 minutes, stirring occasionally
 Remove from heat and serve warm
"
What are the steps to prepare Sauteed Apples?,"To prepare Sauteed Apples, follow these steps: 
Melt butter in a large skillet or saucepan over medium heat; add apples and cook, stirring constantly, until almost tender, 6 to 7 minutes

Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples
 Stir in brown sugar and cinnamon
 Bring to a boil for 2 minutes, stirring occasionally
 Remove from heat and serve warm
"
What is the prep and cook time for Sauteed Apples?,Sauteed Apples usually takes 5 mins minutes to prepare and 15 mins minutes to cook.
Can you give me the full recipe for Homemade Apple Cider?,"Here is the full recipe for Homemade Apple Cider:
Ingredients: 10 large apples, quartered,   water, to cover, ¾ cup white sugar, 1 tablespoon ground cinnamon, 1 tablespoon ground allspice
Servings: 16
Prep time: 15 mins
Cook time: 3 hrs
Directions: Place apples in a large stockpot; cover with water by at least 2 inches. Stir in sugar, cinnamon, and allspice. Bring to a boil over medium-high heat. Boil, uncovered, for 1 hour. Reduce heat; cover and simmer for 2 hours.
Strain apple mixture through a fine-mesh sieve; discard solids. Drain cider again through a cheesecloth-lined sieve.
Refrigerate cider until cold, about 4 hours.
Nutrition: Total Fat 0g 0%,
 Sodium 1mg 0%,
 Total Carbohydrate 22g 8%,
 Dietary Fiber 2g 9%,
 Total Sugars 18g,
 Protein 0g,
 Vitamin C 4mg 21%,
 Calcium 12mg 1%,
 Iron 0mg 1%,
 Potassium 98mg 2%"
What is the nutrition information for Homemade Apple Cider?,"Here is the nutrition information for Homemade Apple Cider: Total Fat 0g 0%,
 Sodium 1mg 0%,
 Total Carbohydrate 22g 8%,
 Dietary Fiber 2g 9%,
 Total Sugars 18g,
 Protein 0g,
 Vitamin C 4mg 21%,
 Calcium 12mg 1%,
 Iron 0mg 1%,
 Potassium 98mg 2%"
Can you break down the steps to cook Homemade Apple Cider?,"To prepare Homemade Apple Cider, follow these steps: 
Place apples in a large stockpot; cover with water by at least 2 inches
 Stir in sugar, cinnamon, and allspice
 Bring to a boil over medium-high heat
 Boil, uncovered, for 1 hour
 Reduce heat; cover and simmer for 2 hours

Strain apple mixture through a fine-mesh sieve; discard solids
 Drain cider again through a cheesecloth-lined sieve

Refrigerate cider until cold, about 4 hours
"
Can you give me the full recipe for German Apple Cake?,"Here is the full recipe for German Apple Cake:
Ingredients: 1 cup vegetable oil, 2  eggs, 2 cups white sugar, 1 teaspoon vanilla extract, 2 cups all-purpose flour, 2 teaspoons ground cinnamon, 1 teaspoon baking soda, ½ teaspoon salt, 4 cups apples - peeled, cored and diced
Servings: 24
Prep time: 15 mins
Cook time: 45 mins
Directions: Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan.
Beat oil and eggs in a mixing bowl with an electric mixer until creamy. Add sugar and vanilla; beat well.
Stir together flour, cinnamon, baking soda, and salt in a bowl. Slowly add flour mixture to egg mixture; mix until combined. The batter will be very thick. Fold in apples by hand using a wooden spoon. Spread batter into the prepared pan.
Bake cake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes. Cool cake on a wire rack.
Nutrition: Total Fat 10g 12%,
 Saturated Fat 1g 7%,
 Cholesterol 16mg 5%,
 Sodium 107mg 5%,
 Total Carbohydrate 28g 10%,
 Dietary Fiber 1g 3%,
 Total Sugars 19g,
 Protein 2g,
 Vitamin C 1mg 5%,
 Calcium 7mg 1%,
 Iron 1mg 3%,
 Potassium 41mg 1%"
What is the prep and cook time for German Apple Cake?,German Apple Cake usually takes 15 mins minutes to prepare and 45 mins minutes to cook.
"What is the prep and cook time for Sausage, Apple and Cranberry Stuffing?","Sausage, Apple and Cranberry Stuffing usually takes 15 mins minutes to prepare and 15 mins minutes to cook."
"How many servings does Sausage, Apple and Cranberry Stuffing yield?","Sausage, Apple and Cranberry Stuffing yields 10 servings. This is great for group serving meal."
"What are the steps to prepare Sausage, Apple and Cranberry Stuffing?","To prepare Sausage, Apple and Cranberry Stuffing, follow these steps: 
Preheat the oven to 350 degrees F (175 degrees C)

Spread white and whole wheat bread cubes in a single layer on a large baking sheet

Bake in the preheated oven until evenly toasted, 5 to 7 minutes
 Transfer toasted bread cubes to a large bowl

Cook sausage and onions in a large skillet over medium heat, stirring and breaking up lumps, until evenly browned, 6 to 8 minutes
 Add celery, sage, rosemary, and thyme; cook and stir until flavors blend, about 2 minutes

Pour sausage mixture over bread in bowl
 Mix in chopped apple, dried cranberries, parsley, and liver
 Drizzle with turkey stock and melted butter; mix lightly

Allow stuffing to cool completely before loosely stuffing a turkey
"
"Can you give me the full recipe for Sausage, Apple and Cranberry Stuffing?","Here is the full recipe for Sausage, Apple and Cranberry Stuffing:
Ingredients: 3 ¾ cups cubed white bread, 1 ½ cups cubed whole wheat bread, 1 pound ground turkey sausage, 1 cup chopped onion, ¾ cup chopped celery, 2 ½ teaspoons dried sage, 1 ½ teaspoons dried rosemary, ½ teaspoon dried thyme, 1  Golden Delicious apple, cored and chopped, ¾ cup dried cranberries, ⅓ cup minced fresh parsley, 1  cooked turkey liver, finely chopped, ¾ cup turkey stock, 4 tablespoons unsalted butter, melted
Servings: 10
Prep time: 15 mins
Cook time: 15 mins
Directions: Preheat the oven to 350 degrees F (175 degrees C).
Spread white and whole wheat bread cubes in a single layer on a large baking sheet.
Bake in the preheated oven until evenly toasted, 5 to 7 minutes. Transfer toasted bread cubes to a large bowl.
Cook sausage and onions in a large skillet over medium heat, stirring and breaking up lumps, until evenly browned, 6 to 8 minutes. Add celery, sage, rosemary, and thyme; cook and stir until flavors blend, about 2 minutes.
Pour sausage mixture over bread in bowl. Mix in chopped apple, dried cranberries, parsley, and liver. Drizzle with turkey stock and melted butter; mix lightly.
Allow stuffing to cool completely before loosely stuffing a turkey.
Nutrition: Total Fat 12g 15%,
 Saturated Fat 5g 25%,
 Cholesterol 80mg 27%,
 Sodium 548mg 24%,
 Total Carbohydrate 22g 8%,
 Dietary Fiber 2g 8%,
 Total Sugars 9g,
 Protein 13g,
 Vitamin C 9mg 44%,
 Calcium 47mg 4%,
 Iron 3mg 17%,
 Potassium 268mg 6%"
Can you give me the full recipe for Apple Butter?,"Here is the full recipe for Apple Butter:
Ingredients: 10 pounds apples, quartered, 4 cups unsweetened apple juice, 1 cup white sugar, 1 tablespoon apple cider vinegar, 1 ½ teaspoons ground cinnamon, ½ teaspoon ground cloves, ½ teaspoon ground allspice, 6  half-pint canning jars with lids and rings
Servings: 48
Prep time: 10 mins
Cook time: 10 hrs 25 mins
Directions: Combine apples and apple juice in a stockpot; bring to a boil. Reduce heat and cook at a simmer until apples are soft and mushy, 20 to 30 minutes.
Spoon apples into a food mill and process into puree while discarding the cores and peels remaining in the mill. Transfer process apples to a slow cooker.
Cook on High with the lid off until the moisture evaporates and the volume reduces by about half, overnight to 24 hours.
Stir sugar, apple cider vinegar, cinnamon, cloves, and allspice through the apple puree.
Continue cooking on High until mixture mounds on a chilled plate without any water separating from the edges, another 2 to 6 hours.
Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the apple butter into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings.
Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil, cover the pot, and process 5 to 10 minutes.
Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.
Nutrition: Total Fat 0g 0%,
 Sodium 2mg 0%,
 Total Carbohydrate 20g 7%,
 Dietary Fiber 2g 8%,
 Total Sugars 16g,
 Protein 0g,
 Vitamin C 5mg 23%,
 Calcium 8mg 1%,
 Iron 0mg 1%,
 Potassium 127mg 3%"
Can you break down the steps to cook Apple Butter?,"To prepare Apple Butter, follow these steps: 
Combine apples and apple juice in a stockpot; bring to a boil
 Reduce heat and cook at a simmer until apples are soft and mushy, 20 to 30 minutes

Spoon apples into a food mill and process into puree while discarding the cores and peels remaining in the mill
 Transfer process apples to a slow cooker

Cook on High with the lid off until the moisture evaporates and the volume reduces by about half, overnight to 24 hours

Stir sugar, apple cider vinegar, cinnamon, cloves, and allspice through the apple puree

Continue cooking on High until mixture mounds on a chilled plate without any water separating from the edges, another 2 to 6 hours

Sterilize the jars and lids in boiling water for at least 5 minutes
 Pack the apple butter into the hot, sterilized jars, filling the jars to within 1/4 inch of the top
 Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles
 Wipe the rims of the jars with a moist paper towel to remove any food residue
 Top with lids, and screw on rings

Place a rack in the bottom of a large stockpot and fill halfway with water
 Bring to a boil and lower jars into the boiling water using a holder
 Leave a 2-inch space between the jars
 Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars
 Bring the water to a rolling boil, cover the pot, and process 5 to 10 minutes

Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool
 Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all)
 Store in a cool, dark area
"
How many servings does Apple Butter yield?,Apple Butter yields 48 servings. This is great for group serving meal.
How do I make Apple Butter?,"To prepare Apple Butter, follow these steps: 
Combine apples and apple juice in a stockpot; bring to a boil
 Reduce heat and cook at a simmer until apples are soft and mushy, 20 to 30 minutes

Spoon apples into a food mill and process into puree while discarding the cores and peels remaining in the mill
 Transfer process apples to a slow cooker

Cook on High with the lid off until the moisture evaporates and the volume reduces by about half, overnight to 24 hours

Stir sugar, apple cider vinegar, cinnamon, cloves, and allspice through the apple puree

Continue cooking on High until mixture mounds on a chilled plate without any water separating from the edges, another 2 to 6 hours

Sterilize the jars and lids in boiling water for at least 5 minutes
 Pack the apple butter into the hot, sterilized jars, filling the jars to within 1/4 inch of the top
 Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles
 Wipe the rims of the jars with a moist paper towel to remove any food residue
 Top with lids, and screw on rings

Place a rack in the bottom of a large stockpot and fill halfway with water
 Bring to a boil and lower jars into the boiling water using a holder
 Leave a 2-inch space between the jars
 Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars
 Bring the water to a rolling boil, cover the pot, and process 5 to 10 minutes

Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool
 Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all)
 Store in a cool, dark area
"
What are the steps to prepare Apple Butter?,"To prepare Apple Butter, follow these steps: 
Combine apples and apple juice in a stockpot; bring to a boil
 Reduce heat and cook at a simmer until apples are soft and mushy, 20 to 30 minutes

Spoon apples into a food mill and process into puree while discarding the cores and peels remaining in the mill
 Transfer process apples to a slow cooker

Cook on High with the lid off until the moisture evaporates and the volume reduces by about half, overnight to 24 hours

Stir sugar, apple cider vinegar, cinnamon, cloves, and allspice through the apple puree

Continue cooking on High until mixture mounds on a chilled plate without any water separating from the edges, another 2 to 6 hours

Sterilize the jars and lids in boiling water for at least 5 minutes
 Pack the apple butter into the hot, sterilized jars, filling the jars to within 1/4 inch of the top
 Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles
 Wipe the rims of the jars with a moist paper towel to remove any food residue
 Top with lids, and screw on rings

Place a rack in the bottom of a large stockpot and fill halfway with water
 Bring to a boil and lower jars into the boiling water using a holder
 Leave a 2-inch space between the jars
 Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars
 Bring the water to a rolling boil, cover the pot, and process 5 to 10 minutes

Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool
 Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all)
 Store in a cool, dark area
"
How many servings does Waldorf Salad yield?,Waldorf Salad yields 6 servings. This is great for group serving meal.
What is the prep and cook time for Waldorf Salad?,Waldorf Salad usually takes 20 mins minutes to prepare and nan minutes to cook.
What is the nutrition information for Waldorf Salad?,"Here is the nutrition information for Waldorf Salad: Total Fat 21g 27%,
 Saturated Fat 3g 14%,
 Cholesterol 7mg 2%,
 Sodium 171mg 7%,
 Total Carbohydrate 24g 9%,
 Dietary Fiber 3g 11%,
 Total Sugars 17g,
 Protein 2g,
 Vitamin C 5mg 23%,
 Calcium 29mg 2%,
 Iron 1mg 4%,
 Potassium 263mg 6%"
How long does it take to prepare Waldorf Salad?,Waldorf Salad usually takes 20 mins minutes to prepare and nan minutes to cook.
How do I make Homemade Applesauce?,"To prepare Homemade Applesauce, follow these steps: 
Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes

Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like
"
Can you break down the steps to cook Homemade Applesauce?,"To prepare Homemade Applesauce, follow these steps: 
Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes

Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like
"
What is the nutrition information for Homemade Applesauce?,"Here is the nutrition information for Homemade Applesauce: Total Fat 0g 0%,
 Sodium 3mg 0%,
 Total Carbohydrate 32g 12%,
 Dietary Fiber 4g 13%,
 Total Sugars 27g,
 Protein 0g,
 Vitamin C 6mg 32%,
 Calcium 13mg 1%,
 Iron 0mg 1%,
 Potassium 150mg 3%"
Can you give me the full recipe for Apple Cider?,"Here is the full recipe for Apple Cider:
Ingredients: 1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar
Servings: 8
Prep time: 10 mins
Cook time: 1 hrs
Directions: Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm.
Nutrition: Total Fat 0g 0%,
 Sodium 31mg 1%,
 Total Carbohydrate 43g 16%,
 Dietary Fiber 1g 3%,
 Total Sugars 38g,
 Protein 0g,
 Vitamin C 0mg 1%,
 Calcium 23mg 2%,
 Iron 0mg 1%,
 Potassium 20mg 0%"
What is the prep and cook time for Apple Cider?,Apple Cider usually takes 10 mins minutes to prepare and 1 hrs minutes to cook.
How do I make Apple Cider?,"To prepare Apple Cider, follow these steps: 
Combine apple cider and cinnamon sticks in a slow cooker

Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth
 Gather edges of the cheesecloth together and tie to secure; place in the slow cooker
 Stir in brown sugar
 Cook on High until it comes to a boil
 Reduce heat to Low and keep warm
"
How long does it take to prepare Apple Cider?,Apple Cider usually takes 10 mins minutes to prepare and 1 hrs minutes to cook.
Can you break down the steps to cook Southern Fried Apples?,"To prepare Southern Fried Apples, follow these steps: 
Melt butter in a large skillet over medium heat
 Add sugar and cinnamon; stir until sugar dissolves

Add apples and cook until softened, 5 to 8 minutes
"
How do I make Southern Fried Apples?,"To prepare Southern Fried Apples, follow these steps: 
Melt butter in a large skillet over medium heat
 Add sugar and cinnamon; stir until sugar dissolves

Add apples and cook until softened, 5 to 8 minutes
"
What is the prep and cook time for Mulligatawny Soup?,Mulligatawny Soup usually takes 20 mins minutes to prepare and 1 hrs minutes to cook.
How long does it take to prepare Mulligatawny Soup?,Mulligatawny Soup usually takes 20 mins minutes to prepare and 1 hrs minutes to cook.
What is the prep and cook time for Mulligatawny Soup?,Mulligatawny Soup usually takes 20 mins minutes to prepare and 1 hrs minutes to cook.
What ingredients do I need to make Mulligatawny Soup?,"To prepare Mulligatawny Soup, follow these steps: 
Melt butter in a large soup pot over medium heat
 Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes
 Add flour and curry, and cook 5 more minutes, stirring frequently
 Add chicken broth, mix well, and bring to a boil
 Reduce heat and simmer for about 30 minutes

Add apple, rice, chicken, thyme, salt, and pepper
 Simmer until rice is tender, 15 to 20 minutes

Just before serving, stir in hot cream

"
Can you break down the steps to cook Mulligatawny Soup?,"To prepare Mulligatawny Soup, follow these steps: 
Melt butter in a large soup pot over medium heat
 Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes
 Add flour and curry, and cook 5 more minutes, stirring frequently
 Add chicken broth, mix well, and bring to a boil
 Reduce heat and simmer for about 30 minutes

Add apple, rice, chicken, thyme, salt, and pepper
 Simmer until rice is tender, 15 to 20 minutes

Just before serving, stir in hot cream

"
What is the prep and cook time for Sauteed Apples?,Sauteed Apples usually takes 5 mins minutes to prepare and 15 mins minutes to cook.
What is the nutrition information for Sauteed Apples?,"Here is the nutrition information for Sauteed Apples: Total Fat 6g 8%,
 Saturated Fat 4g 19%,
 Cholesterol 15mg 5%,
 Sodium 45mg 2%,
 Total Carbohydrate 24g 9%,
 Dietary Fiber 3g 9%,
 Total Sugars 20g,
 Protein 0g,
 Vitamin C 5mg 25%,
 Calcium 18mg 1%,
 Iron 0mg 1%,
 Potassium 128mg 3%"
How do I make Sauteed Apples?,"To prepare Sauteed Apples, follow these steps: 
Melt butter in a large skillet or saucepan over medium heat; add apples and cook, stirring constantly, until almost tender, 6 to 7 minutes

Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples
 Stir in brown sugar and cinnamon
 Bring to a boil for 2 minutes, stirring occasionally
 Remove from heat and serve warm
"
How many servings does Sauteed Apples yield?,Sauteed Apples yields 8 servings. This is great for group serving meal.
What is the nutrition information for Sauteed Apples?,"Here is the nutrition information for Sauteed Apples: Total Fat 6g 8%,
 Saturated Fat 4g 19%,
 Cholesterol 15mg 5%,
 Sodium 45mg 2%,
 Total Carbohydrate 24g 9%,
 Dietary Fiber 3g 9%,
 Total Sugars 20g,
 Protein 0g,
 Vitamin C 5mg 25%,
 Calcium 18mg 1%,
 Iron 0mg 1%,
 Potassium 128mg 3%"
Can you break down the steps to cook Homemade Apple Cider?,"To prepare Homemade Apple Cider, follow these steps: 
Place apples in a large stockpot; cover with water by at least 2 inches
 Stir in sugar, cinnamon, and allspice
 Bring to a boil over medium-high heat
 Boil, uncovered, for 1 hour
 Reduce heat; cover and simmer for 2 hours

Strain apple mixture through a fine-mesh sieve; discard solids
 Drain cider again through a cheesecloth-lined sieve

Refrigerate cider until cold, about 4 hours
"
What ingredients do I need to make Homemade Apple Cider?,"To prepare Homemade Apple Cider, follow these steps: 
Place apples in a large stockpot; cover with water by at least 2 inches
 Stir in sugar, cinnamon, and allspice
 Bring to a boil over medium-high heat
 Boil, uncovered, for 1 hour
 Reduce heat; cover and simmer for 2 hours

Strain apple mixture through a fine-mesh sieve; discard solids
 Drain cider again through a cheesecloth-lined sieve

Refrigerate cider until cold, about 4 hours
"
What is the nutrition information for German Apple Cake?,"Here is the nutrition information for German Apple Cake: Total Fat 10g 12%,
 Saturated Fat 1g 7%,
 Cholesterol 16mg 5%,
 Sodium 107mg 5%,
 Total Carbohydrate 28g 10%,
 Dietary Fiber 1g 3%,
 Total Sugars 19g,
 Protein 2g,
 Vitamin C 1mg 5%,
 Calcium 7mg 1%,
 Iron 1mg 3%,
 Potassium 41mg 1%"
How long does it take to prepare German Apple Cake?,German Apple Cake usually takes 15 mins minutes to prepare and 45 mins minutes to cook.
How do I make German Apple Cake?,"To prepare German Apple Cake, follow these steps: 
Preheat the oven to 350 degrees F (175 degrees C)
 Grease and flour a 9x13-inch cake pan

Beat oil and eggs in a mixing bowl with an electric mixer until creamy
 Add sugar and vanilla; beat well

Stir together flour, cinnamon, baking soda, and salt in a bowl
 Slowly add flour mixture to egg mixture; mix until combined
 The batter will be very thick
 Fold in apples by hand using a wooden spoon
 Spread batter into the prepared pan

Bake cake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes
 Cool cake on a wire rack
"
"What is the nutrition information for Sausage, Apple and Cranberry Stuffing?","Here is the nutrition information for Sausage, Apple and Cranberry Stuffing: Total Fat 12g 15%,
 Saturated Fat 5g 25%,
 Cholesterol 80mg 27%,
 Sodium 548mg 24%,
 Total Carbohydrate 22g 8%,
 Dietary Fiber 2g 8%,
 Total Sugars 9g,
 Protein 13g,
 Vitamin C 9mg 44%,
 Calcium 47mg 4%,
 Iron 3mg 17%,
 Potassium 268mg 6%"
"What is the nutrition information for Sausage, Apple and Cranberry Stuffing?","Here is the nutrition information for Sausage, Apple and Cranberry Stuffing: Total Fat 12g 15%,
 Saturated Fat 5g 25%,
 Cholesterol 80mg 27%,
 Sodium 548mg 24%,
 Total Carbohydrate 22g 8%,
 Dietary Fiber 2g 8%,
 Total Sugars 9g,
 Protein 13g,
 Vitamin C 9mg 44%,
 Calcium 47mg 4%,
 Iron 3mg 17%,
 Potassium 268mg 6%"
